,0
1518,91.0
1519,40.0
1520,76.0
1521,134.0
1522,104.0
1523,130.0
1524,111.0
1525,44.0
1526,39.0
1527,318.0
1528,41.0
1529,58.0
1530,80.0
1531,83.0
1532,89.0
1533,93.0
1534,550.0
1535,105.0
1536,62.0
1537,81.0
1538,129.0
1539,84.0
1540,75.0
1541,55.0
1542,55.0
1543,184.0
1544,87.0
1545,79.0
1546,46.0
1547,33.0
1548,134.0
1549,137.0
1550,110.0
1551,45.0
1552,112.0
1553,111.0
1554,134.0
1555,2.0
1556,282.0
1557,63.0
1558,62.0
1559,183.0
1560,304.0
1561,63.0
1562,39.0
1563,151.0
1564,88.0
1565,102.0
1566,87.0
1567,188.0
1568,100.0
1569,146.0
1570,500.0
1571,123.0
1572,226.0
1573,71.0
1574,59.0
1575,62.0
1576,30.0
1577,121.0
1578,39.0
1579,131.0
1580,58.0
1581,114.0
1582,256.0
1583,210.0
1584,131.0
1585,38.0
1586,61.0
1587,93.0
1588,162.0
1589,154.0
1590,183.0
1591,72.0
1592,62.0
1593,101.0
1594,75.0
1595,168.0
1596,226.0
1597,54.0
1598,91.0
1599,59.0
1600,74.0
1601,76.0
1602,149.0
1603,52.0
1604,227.0
1605,69.0
1606,59.0
1607,142.0
1608,57.0
1609,242.0
1610,98.0
1611,215.0
1612,402.0
1613,60.0
1614,285.0
1615,363.0
1616,50.0
1617,58.0
1618,126.0
1619,280.0
1620,72.0
1621,151.0
1622,266.0
1623,342.0
1624,183.0
1625,337.0
1626,197.0
1627,116.0
1628,1880.0
1629,75.0
1630,160.0
1631,58.0
1632,72.0
1633,110.0
1634,67.0
1635,54.0
1636,134.0
1637,100.0
1638,57.0
1639,24.0
1640,87.0
1641,262.0
1642,25.0
1643,99.0
1644,327.0
1645,68.0
1646,226.0
1647,181.0
1648,52.0
1649,273.0
1650,73.0
1651,78.0
1652,85.0
1653,71.0
1654,78.0
1655,43.0
1656,126.0
1657,282.0
1658,70.0
1659,56.0
1660,297.0
1661,63.0
1662,305.0
1663,56.0
1664,166.0
1665,179.0
1666,264.0
1667,89.0
1668,95.0
1669,146.0
1670,66.0
1671,74.0
